t,abad_deg,mcp_deg,pip_deg
1.345000,-30.486133,21.551127,86.243535
1.350000,-30.486119,21.587127,86.186100
1.355000,-30.486105,21.623827,86.119984
1.360000,-30.486092,21.661228,86.045186
1.365000,-30.486078,21.699327,85.961694
1.370000,-30.486064,21.738117,85.869480
1.375000,-30.486051,21.777597,85.768536
1.380000,-30.486037,21.817767,85.658864
1.385000,-30.486023,21.858605,85.540435
1.390000,-30.486010,21.900109,85.413257
1.395000,-30.486000,21.942280,85.277323
1.400000,-30.485989,21.985112,85.132618
1.405000,-30.485979,22.028605,84.979151
1.410000,-30.485969,22.072745,84.816913
1.415000,-30.485959,22.117534,84.645913
1.420000,-30.485948,22.162970,84.466142
1.425000,-30.485938,22.209053,84.277609
1.430000,-30.485931,22.255746,84.080298
1.435000,-30.485924,22.303049,83.874211
1.440000,-30.485918,22.350961,83.659353
1.445000,-30.485911,22.399482,83.435733
1.450000,-30.485904,22.448609,83.203356
1.455000,-30.485897,22.498320,82.962251
1.460000,-30.485894,22.548609,82.712430
1.465000,-30.485890,22.599476,82.453900
1.470000,-30.485887,22.650917,82.186669
1.475000,-30.485883,22.702915,81.910757
1.480000,-30.485880,22.755467,81.626163
1.485000,-30.485877,22.808553,81.332923
1.490000,-30.485873,22.862173,81.031042
1.495000,-30.485873,22.916316,80.720535
1.500000,-30.485873,22.970980,80.401408
1.505000,-30.485873,23.026147,80.073689
1.510000,-30.485873,23.081810,79.737391
1.515000,-30.485873,23.137962,79.392527
1.520000,-30.485873,23.194595,79.039120
1.525000,-30.485877,23.251701,78.677174
1.530000,-30.485880,23.309260,78.306705
1.535000,-30.485883,23.367274,77.927718
1.540000,-30.485887,23.425730,77.540228
1.545000,-30.485890,23.484618,77.144248
1.550000,-30.485897,23.543930,76.739805
1.555000,-30.485904,23.603648,76.326913
1.560000,-30.485911,23.663761,75.905586
1.565000,-30.485918,23.724263,75.475844
1.570000,-30.485924,23.785149,75.037701
1.575000,-30.485931,23.846400,74.591171
1.580000,-30.485941,23.908005,74.136273
1.585000,-30.485952,23.969953,73.673023
1.590000,-30.485962,24.032236,73.201439
1.595000,-30.485972,24.094841,72.721530
1.600000,-30.485982,24.157759,72.233321
1.605000,-30.485993,24.220978,71.736828
1.610000,-30.486006,24.284488,71.232063
1.615000,-30.486020,24.348281,70.719048
1.620000,-30.486034,24.412346,70.197795
1.625000,-30.486047,24.476668,69.668333
1.630000,-30.486061,24.541235,69.130674
1.635000,-30.486078,24.606030,68.584846
1.640000,-30.486095,24.671041,68.030877
1.645000,-30.486112,24.736256,67.468793
1.650000,-30.486129,24.801667,66.898616
1.655000,-30.486146,24.867262,66.320379
1.660000,-30.486163,24.933037,65.734109
1.665000,-30.486184,24.998969,65.139842
1.670000,-30.486204,25.065046,64.537611
1.675000,-30.486225,25.131256,63.927456
1.680000,-30.486245,25.197592,63.309413
1.685000,-30.486266,25.264030,62.683535
1.690000,-30.486290,25.330556,62.049878
1.695000,-30.486314,25.397162,61.408482
1.700000,-30.486338,25.463847,60.759409
1.705000,-30.486362,25.530591,60.102721
1.710000,-30.486385,25.597386,59.438478
1.715000,-30.486409,25.664216,58.766756
1.720000,-30.486437,25.731075,58.087624
1.725000,-30.486464,25.797932,57.401169
1.730000,-30.486491,25.864774,56.707488
1.735000,-30.486519,25.931590,56.006687
1.740000,-30.486546,25.998377,55.298871
1.745000,-30.486573,26.065113,54.584160
1.750000,-30.486604,26.131793,53.862681
1.755000,-30.486635,26.198391,53.134576
1.760000,-30.486665,26.264900,52.399999
1.765000,-30.486696,26.331306,51.659108
1.770000,-30.486727,26.397604,50.912070
1.775000,-30.486758,26.463769,50.159072
1.780000,-30.486788,26.529795,49.400310
1.785000,-30.486823,26.595657,48.635994
1.790000,-30.486857,26.661345,47.866352
1.795000,-30.486891,26.726843,47.091617
1.800000,-30.486925,26.792146,46.312043
1.805000,-30.486959,26.857231,45.527900
1.810000,-30.486993,26.922090,44.739471
1.815000,-30.487027,26.986706,43.947052
1.820000,-30.487062,27.051073,43.150956
1.825000,-30.487099,27.115168,42.351517
1.830000,-30.487137,27.178982,41.549079
1.835000,-30.487174,27.242491,40.744015
1.840000,-30.487212,27.305686,39.936710
1.845000,-30.487249,27.368549,39.127569
1.850000,-30.487287,27.431076,38.316999
1.855000,-30.487325,27.493241,37.505446
1.860000,-30.487362,27.555036,36.693354
1.865000,-30.487400,27.616444,35.881193
1.870000,-30.487437,27.677462,35.069432
1.875000,-30.487475,27.738057,34.258576
1.880000,-30.487512,27.798223,33.449127
1.885000,-30.487550,27.857936,32.641611
1.890000,-30.487588,27.917193,31.836550
1.895000,-30.487625,27.975970,31.034484
1.900000,-30.487663,28.034262,30.235943
1.905000,-30.487700,28.092046,29.441476
1.910000,-30.487738,28.149315,28.651622
1.915000,-30.487775,28.206047,27.866933
1.920000,-30.487813,28.262235,27.087945
1.925000,-30.487851,28.317857,26.315211
1.930000,-30.487888,28.372905,25.549263
1.935000,-30.487926,28.427353,24.790641
1.940000,-30.487963,28.481197,24.039858
1.945000,-30.488001,28.534411,23.297437
1.950000,-30.488038,28.586990,22.563868
1.955000,-30.488076,28.638908,21.839644
1.960000,-30.488113,28.690162,21.125222
1.965000,-30.488151,28.740726,20.421055
1.970000,-30.488189,28.790596,19.727557
1.975000,-30.488226,28.839746,19.045146
1.980000,-30.488264,28.888176,18.374191
1.985000,-30.488298,28.935854,17.715067
1.990000,-30.488332,28.982777,17.068098
1.995000,-30.488366,29.028919,16.433613
2.000000,-30.488400,29.074278,15.811888
2.005000,-30.488434,29.118824,15.203209
2.010000,-30.488469,29.162555,14.607809
